github_path,category,dependency_partition,size,sha256,archive_identical_elsewhere,archive_same_basename_elsewhere,included_by_count,included_by
DataStructure/XCastle.cpp,normal/shared source,normal player dependency,30816,69410aa19ced537ad1dc1b114b7eccf1bec792ba00287508a86734b63b10cf40,,,0,
DataStructure/XCastle.h,normal/shared source,normal player dependency,6084,89a92663c78f7bf33f6836b6324991f2e7f7d3c991a5a89fa5c9bbf43e08610f,,,1,DataStructure/XCastle.cpp
DataStructure/XFlag.cpp,normal/shared source,normal player dependency,6884,cb65bbd51609c93a85279fbbd6f4ff39f8da3cfb9b0432e0b35088fc24e670e8,,,0,
DataStructure/XFlag.h,normal/shared source,normal player dependency,1586,1af61e48ceab21539fb206657b449516ee3475ee4b00266ff9cf4bd28e9b472d,,,1,DataStructure/XFlag.cpp
Library/ApexClient.h,third-party/middleware,normal player dependency,687,98099f5938c1c74b884c3eb164d2f0ce44af112c6588ddbab0e4e97eccdb2b1d,,,1,Network/XNetwork.cpp
Library/BinkSDK/bink.h,third-party/middleware,normal player dependency,30941,a6ef49a8c494b6e0f7b7f361e54be79605c7eb5f7c9ee1deccbcfec957faa660,,,2,Library/BinkSDK/binktextures.h;XIGAADWrapper/XWindow_BinkStatic.h
Library/BinkSDK/binktextures.h,third-party/middleware,normal player dependency,7155,c2ced3a38e1ac4bed3964444cb4585b242304834e0e24c54da2a0eebcd7526ba,,,0,
Library/BinkSDK/dx9rad3d.cpp,third-party/middleware,normal player dependency,50657,e3d3ec90858de2f5056bedef813a871ac6bc4ecb5b6a73b612c0910b096bf9e1,,,0,
Library/BinkSDK/rad3d.h,third-party/middleware,normal player dependency,4295,dd62a3fa47cab76d0eb3ae764a5b455e0eb5fea0c200a7df351448a6bed74bdf,,,2,Library/BinkSDK/dx9rad3d.cpp;XIGAADWrapper/XWindow_BinkStatic.h
Library/BinkSDK/radbase.h,third-party/middleware,normal player dependency,18575,5eef758e828464a34321d1416c91f00cb843e35166505efbb92a6da75798ceaa,,,2,Library/BinkSDK/bink.h;Library/BinkSDK/rad3d.h
Library/CWebPage/XWebPage.h,third-party/middleware,normal player dependency,693,6f59e531b766b0619d22c1d294cdadb8e4ede55e334aa13eb1c463f491c5e4c3,,,8,EmperorOfDragons.cpp;MeshControl/XRenderStateControl.cpp;Network/XNetwork.cpp;XProcess/XProc_FirstLoad.cpp;XProcess/XProc_Loading.cpp;XProcess/XProc_MainGame.cpp;XProcess/XProc_MainGameMessageHandler.cpp;XProcess/XWindow_CashMall.cpp
Library/FMod/3.74/fmod.h,third-party/middleware,normal player dependency,72687,0188c2c5718f9f227bccc765d9a51f397716d34c003142a81be5ea8a96c7d526,,,1,Library/FMod/3.74/fmoddyn.h
Library/FMod/3.74/fmod_errors.h,third-party/middleware,normal player dependency,1689,7a0644b95f21666d98713390476218a560cf8f67222de3c812dd48252b742858,,,0,
Library/FMod/3.74/fmoddyn.h,third-party/middleware,normal player dependency,39080,a7f4489a2aed21771e0f6b63795039fc49b875f3977e304082fef1cc905b3535,,,0,
Library/FMod/3.74/wincompat.h,third-party/middleware,normal player dependency,1438,1f60d0a40906c81c7b856025e71245226bc205c96d0259a92da6638cf5e305d6,,,0,
Library/FMod/3.75/fmod.h,third-party/middleware,normal player dependency,73410,921c31be692202e1954311e5f24e57a5332972852a0bc392ae4c8f5fb007b210,,,1,Library/FMod/3.75/fmoddyn.h
Library/FMod/3.75/fmod_errors.h,third-party/middleware,normal player dependency,1689,7a0644b95f21666d98713390476218a560cf8f67222de3c812dd48252b742858,,,0,
Library/FMod/3.75/fmoddyn.h,third-party/middleware,normal player dependency,39326,31c18f290cf0e9665ec3dc143d49deacd4b3d24e2d52d64e73470e7848c125f8,,,0,
Library/FMod/3.75/wincompat.h,third-party/middleware,normal player dependency,1438,1f60d0a40906c81c7b856025e71245226bc205c96d0259a92da6638cf5e305d6,,,0,
Library/FMod/fmod.h,third-party/middleware,normal player dependency,72687,0188c2c5718f9f227bccc765d9a51f397716d34c003142a81be5ea8a96c7d526,,,1,Library/FMod/fmoddyn.h
Library/FMod/fmod_errors.h,third-party/middleware,normal player dependency,1689,7a0644b95f21666d98713390476218a560cf8f67222de3c812dd48252b742858,,,0,
Library/FMod/fmoddyn.h,third-party/middleware,normal player dependency,39080,a7f4489a2aed21771e0f6b63795039fc49b875f3977e304082fef1cc905b3535,,,0,
Library/FMod/wincompat.h,third-party/middleware,normal player dependency,1438,1f60d0a40906c81c7b856025e71245226bc205c96d0259a92da6638cf5e305d6,,,0,
Library/NPGameLib.h,third-party/middleware,shared by GM and normal,10325,c4ddc4544e9dce73592dd687f76bdf763e281483168794b594c418af596a0fb2,,,2,EmperorOfDragons.cpp;Network/packet_for_ctrl_gms.h
Library/QHtm/qhtm.h,third-party/middleware,normal player dependency,21444,3ca9196b83b38299dad870febd767b9e8f1de3fbc3441e651b8658b342e68cd0,,qhtm sdk/qhtm.h,0,
Library/QHTM_FullSource1967/components/array.h,third-party/middleware,normal player dependency,3538,46bdecbe87d8c5a91042a941833c74cfe0727a96071dcf04996d8e3850bfbbe7,,,0,
Library/QHTM_FullSource1967/components/array.inl,third-party/middleware,normal player dependency,5045,2c0245d016b23209bd377f87f1d63e100b224b82a8c961c0a4a6ad19906916cf,,,1,Library/QHTM_FullSource1967/components/array.h
Library/QHTM_FullSource1967/components/common.h,third-party/middleware,normal player dependency,586,03f7e61bd97dd9d01d9755731ab57519fed30ec5c50933b0ff3c8af5c6650d68,,audio_sdk/asorg/include/AudioLib/Common.h;audio_sdk/include/AudioLib/Common.h;audio_sdk/src/AudioLib/include/AudioLib/Common.h,0,
Library/QHTM_FullSource1967/components/datasource/bufferdatasource.cpp,third-party/middleware,normal player dependency,1407,e875e4632ef2b4205bfa0ac0d567c4831a7debbc62007636532dc9a85c8a6caf,,,0,
Library/QHTM_FullSource1967/components/datasource/bufferdatasource.h,third-party/middleware,normal player dependency,1066,0307169183d94ec8a1318a802fb39209246f5ba0fbf9c6068c1e246af524d212,,,2,Library/QHTM_FullSource1967/components/datasource/bufferdatasource.cpp;Library/QHTM_FullSource1967/components/datasource/resourcedatasource.h
Library/QHTM_FullSource1967/components/datasource/datasourceabc.cpp,third-party/middleware,normal player dependency,688,62c2847021b5e3192ddf6cb91220207c74faef034747a0134b32c24822252c63,,,0,
